Airline,Max_Departure_Delay
"Hawaiian Airlines Inc.: HA",336
"Southwest Airlines Co.: WN",507
"Alaska Airlines Inc.: AS",660
"Frontier Airlines Inc.: F9",729
"JetBlue Airways: B6",841
"Envoy Air: MQ",1021
"Republic Airline: YX",1162
"Endeavor Air Inc.: 9E",1165
"Delta Air Lines Inc.: DL",1197
"ExpressJet Airlines LLC: EV",1237
"Spirit Air Lines: NK",1246
"United Air Lines Inc.: UA",1420
"Mesa Airlines Inc.: YV",1558
"SkyWest Airlines Inc.: OO",1594
"PSA Airlines Inc.: OH",1844
"American Airlines Inc.: AA",1930
"Allegiant Air: G4",1979
