Airline,Max_Early_Departure_Minutes
"SkyWest Airlines Inc.: OO",49
"Alaska Airlines Inc.: AS",48
"Allegiant Air: G4",38
"Mesa Airlines Inc.: YV",33
"Spirit Air Lines: NK",31
"PSA Airlines Inc.: OH",30
"ExpressJet Airlines LLC: EV",29
"Frontier Airlines Inc.: F9",29
"Hawaiian Airlines Inc.: HA",27
"Endeavor Air Inc.: 9E",27
"United Air Lines Inc.: UA",27
"Delta Air Lines Inc.: DL",26
"Republic Airline: YX",26
"American Airlines Inc.: AA",26
"JetBlue Airways: B6",26
"Envoy Air: MQ",24
"Southwest Airlines Co.: WN",24
