Airline_Name,Airport_Name,Avg_Departure_Delay
"Alaska Airlines Inc.: AS","Adak Island, AK: Adak",33.55555555555556
"Allegiant Air: G4","Lexington, KY: Blue Grass",62.59183673469388
"American Airlines Inc.: AA","Lihue, HI: Lihue Airport",44.18666666666667
"Delta Air Lines Inc.: DL","Fairbanks, AK: Fairbanks International",63.766666666666666
"Endeavor Air Inc.: 9E","Harrisburg, PA: Harrisburg International",29.733333333333334
"Envoy Air: MQ","Boston, MA: Logan International",266
"ExpressJet Airlines LLC: EV","Flint, MI: Bishop International",76.5
"Frontier Airlines Inc.: F9","Burlington, VT: Burlington International",54.857142857142854
"Hawaiian Airlines Inc.: HA","San Diego, CA: San Diego International",17.416666666666668
"JetBlue Airways: B6","Reno, NV: Reno/Tahoe International",33.70454545454545
"Mesa Airlines Inc.: YV","Flagstaff, AZ: Flagstaff Pulliam",144.625
"PSA Airlines Inc.: OH","Detroit, MI: Detroit Metro Wayne County",32.65432098765432
"Republic Airline: YX","Cedar Rapids/Iowa City, IA: The Eastern Iowa",44
"SkyWest Airlines Inc.: OO","Jacksonville, FL: Jacksonville International",279
"Southwest Airlines Co.: WN","Newark, NJ: Newark Liberty International",19.6
"Spirit Air Lines: NK","Jacksonville, FL: Jacksonville International",34.06382978723404
"United Air Lines Inc.: UA","Bend/Redmond, OR: Roberts Field",42.285714285714285
