Airport_Name,Most_Frequent_Reason,Num_Cancellations
"Chicago, IL: Chicago O'Hare International",Weather,474
"Denver, CO: Denver International",Weather,390
"San Francisco, CA: San Francisco International",Weather,76
"Los Angeles, CA: Los Angeles International",Carrier,66
"Chicago, IL: Chicago Midway International",Weather,64
"Minneapolis, MN: Minneapolis-St Paul International",Weather,61
"Detroit, MI: Detroit Metro Wayne County",Weather,58
"Oakland, CA: Metropolitan Oakland International",Carrier,56
"Phoenix, AZ: Phoenix Sky Harbor International",Weather,54
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Carrier,49
"Charlotte, NC: Charlotte Douglas International",Carrier,45
"Dallas, TX: Dallas Love Field",Carrier,41
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Carrier,39
"Burbank, CA: Bob Hope",Carrier,38
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,38
"San Diego, CA: San Diego International",Carrier,37
"Las Vegas, NV: McCarran International",Carrier,33
"Seattle, WA: Seattle/Tacoma International",Carrier,32
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Weather,31
"Houston, TX: William P Hobby",Carrier,29
"Washington, DC: Ronald Reagan Washington National",Carrier,27
"New York, NY: LaGuardia",Weather,25
"Orlando, FL: Orlando International",Carrier,25
"San Luis Obispo, CA: San Luis County Regional",Weather,25
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Carrier,24
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Weather,22
"Nashville, TN: Nashville International",Weather,21
"Houston, TX: George Bush Intercontinental/Houston",Weather,21
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,20
"Boston, MA: Logan International",Carrier,20
"Philadelphia, PA: Philadelphia International",Carrier,19
"Kansas City, MO: Kansas City International",Weather,18
"Rapid City, SD: Rapid City Regional",Weather,18
"Buffalo, NY: Buffalo Niagara International",Weather,17
"Columbus, OH: John Glenn Columbus International",Weather,17
"New Orleans, LA: Louis Armstrong New Orleans International",Carrier,17
"Portland, OR: Portland International",Carrier,17
"Austin, TX: Austin - Bergstrom International",Carrier,16
"Santa Ana, CA: John Wayne Airport-Orange County",Carrier,16
"Colorado Springs, CO: City of Colorado Springs Municipal",Weather,15
"St. Louis, MO: St Louis Lambert International",Weather,15
"Grand Rapids, MI: Gerald R. Ford International",Weather,14
"Milwaukee, WI: General Mitchell International",Weather,14
"Tampa, FL: Tampa International",Carrier,14
"Raleigh/Durham, NC: Raleigh-Durham International",Carrier,13
"San Antonio, TX: San Antonio International",Weather,13
"Salt Lake City, UT: Salt Lake City International",Weather,13
"Duluth, MN: Duluth International",Weather,12
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Weather,12
"Washington, DC: Washington Dulles International",Weather,12
"Kahului, HI: Kahului Airport",Carrier,12
"Omaha, NE: Eppley Airfield",Weather,12
"Sacramento, CA: Sacramento International",Carrier,12
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Weather,11
"Cleveland, OH: Cleveland-Hopkins International",Weather,11
"Cincinnati, OH: Cincinnati/Northern Kentucky International",Weather,11
"Newark, NJ: Newark Liberty International",Weather,11
"Monterey, CA: Monterey Regional",Weather,11
"Madison, WI: Dane County Regional-Truax Field",Weather,11
"Fayetteville, AR: Northwest Arkansas Regional",Weather,11
"Birmingham, AL: Birmingham-Shuttlesworth International",Carrier,10
"Sioux Falls, SD: Joe Foss Field",Weather,10
"Traverse City, MI: Cherry Capital",Weather,10
"Des Moines, IA: Des Moines International",Weather,9
"Fargo, ND: Hector International",Weather,9
"Fresno, CA: Fresno Yosemite International",Weather,9
"Flagstaff, AZ: Flagstaff Pulliam",Weather,9
"Honolulu, HI: Daniel K Inouye International",Carrier,9
"Indianapolis, IN: Indianapolis International",Weather,9
"Memphis, TN: Memphis International",Weather,9
"Oklahoma City, OK: Will Rogers World",Weather,9
"Springfield, MO: Springfield-Branson National",Weather,9
"Albuquerque, NM: Albuquerque International Sunport",Weather,8
"Champaign/Urbana, IL: University of Illinois/Willard",Weather,8
"Greer, SC: Greenville-Spartanburg International",Carrier,8
"Palm Springs, CA: Palm Springs International",Weather,8
"Louisville, KY: Louisville Muhammad Ali International",Weather,8
"Tucson, AZ: Tucson International",Weather,8
"Anchorage, AK: Ted Stevens Anchorage International",Weather,7
"Boise, ID: Boise Air Terminal",Weather,7
"Bozeman, MT: Bozeman Yellowstone International",Weather,7
"Dayton, OH: James M Cox/Dayton International",Weather,7
"Fort Wayne, IN: Fort Wayne International",Weather,7
"New York, NY: John F. Kennedy International",Weather,7
"Lubbock, TX: Lubbock Preston Smith International",Weather,7
"Miami, FL: Miami International",Weather,7
"Marquette, MI: Sawyer International",Weather,7
