FlightDate,Num_Flights,Avg_Flights_Preceding_3_Days
2019-11-01,20207,NULL
2019-11-02,16806,20207
2019-11-03,20595,18506.5
2019-11-04,21434,19202.666666666668
2019-11-05,20007,19611.666666666668
2019-11-06,20423,20678.666666666668
2019-11-07,21611,20621.333333333332
2019-11-08,21605,20680.333333333332
2019-11-09,16829,21213
2019-11-10,20836,20015
2019-11-11,21587,19756.666666666668
2019-11-12,20596,19750.666666666668
2019-11-13,20809,21006.333333333332
2019-11-14,21613,20997.333333333332
2019-11-15,21625,21006
2019-11-16,16869,21349
2019-11-17,20883,20035.666666666668
2019-11-18,21623,19792.333333333332
2019-11-19,20780,19791.666666666668
2019-11-20,20988,21095.333333333332
2019-11-21,21617,21130.333333333332
2019-11-22,21728,21128.333333333332
2019-11-23,18309,21444.333333333332
2019-11-24,20315,20551.333333333332
2019-11-25,20465,20117.333333333332
2019-11-26,21066,19696.333333333332
2019-11-27,21762,20615.333333333332
2019-11-28,12719,21097.666666666668
2019-11-29,15563,18515.666666666668
2019-11-30,21183,16681.333333333332
FlightDate,0,16488.333333333332
